Oklahoma,Oklahoma,2020-03-30
Oklahoma,Cleveland,2020-03-25
Oklahoma,Payne,2020-03-30
Oklahoma,Tulsa,2020-03-20
Utah,Davis,2020-04-01
Utah,Salt Lake,2020-03-30
Utah,Summit,2020-03-27
Wyoming,Teton,2020-03-28
